Survived,Pclass,Sex,Age,Embarked,Surname,Embarked_rate,Pclass_rate,CatFare,Alone,FamilySize,isCabin,Title
1,1,1,2,1,Cumings,0.9,0.9,3,1,1,1,1
0,1,0,3,0,McCarthy,0.2,0.3,2,0,0,1,0
0,3,0,0,0,Palsson,0.2,0.2,1,1,4,0,2
0,3,1,0,0,Palsson,0.6,0.4,1,1,4,0,1
0,3,1,0,0,Palsson,0.6,0.4,1,1,4,0,1
0,3,1,1,0,Palsson,0.6,0.4,1,1,4,0,1
1,3,1,0,0,Sandstrom,0.6,0.4,1,1,2,1,1
1,3,1,1,0,Sandstrom,0.6,0.4,1,1,2,1,1
1,1,1,3,0,Bonnell,0.6,0.9,1,0,0,1,1
0,3,0,2,0,Andersson,0.2,0.2,2,1,6,0,0
0,3,0,2,0,Andersson,0.2,0.2,2,1,6,0,0
1,3,1,1,0,Andersson,0.6,0.4,0,1,6,0,1
1,3,1,1,0,Andersson,0.6,0.4,0,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
1,3,0,1,0,Andersson,0.2,0.2,0,0,0,0,0
1,3,0,1,0,Andersson,0.2,0.2,0,0,0,0,0
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,2,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,2,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,1,0,0,Andersson,0.6,0.4,2,1,6,0,1
0,3,0,0,0,Andersson,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Andersson,0.2,0.2,2,1,6,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,0,0,2,Rice,0.1,0.2,2,1,5,0,2
0,3,1,2,2,Rice,0.8,0.4,2,1,5,0,1
1,2,0,0,0,Williams,0.2,0.3,0,0,0,0,0
0,1,0,3,1,Williams,0.4,0.3,3,1,1,0,0
0,3,0,1,0,Williams,0.2,0.2,0,0,0,0,0
0,3,0,1,0,Williams,0.2,0.2,1,0,0,0,0
0,3,1,1,0,Vander Planke,0.6,0.4,1,1,1,0,1
0,3,1,1,0,Vander Planke,0.6,0.4,1,1,2,0,1
0,3,0,0,0,Vander Planke,0.2,0.2,1,1,2,0,0
1,3,1,0,2,McGowan,0.8,0.4,0,0,0,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,2,0,Asplund,0.6,0.4,2,1,6,0,1
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,1,0,0,Asplund,0.6,0.4,2,1,6,0,1
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
1,3,0,0,0,Asplund,0.2,0.2,2,1,6,0,2
0,1,0,1,0,Fortune,0.2,0.3,3,1,5,1,0
0,1,0,1,0,Fortune,0.2,0.3,3,1,5,1,0
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
1,1,1,1,0,Fortune,0.6,0.9,3,1,5,1,1
0,1,0,3,0,Fortune,0.2,0.3,3,1,5,1,0
0,1,0,3,0,Fortune,0.2,0.3,3,1,5,1,0
1,1,1,2,1,Spencer,0.9,0.9,3,1,1,1,1
1,2,1,0,1,Laroche,0.9,1.0,2,1,3,0,1
1,2,1,1,1,Laroche,0.9,1.0,2,1,3,0,1
0,2,0,1,1,Laroche,0.4,0.3,2,1,3,0,0
0,3,0,0,0,Rogers,0.2,0.2,0,0,0,0,0
0,3,0,0,2,Lennon,0.1,0.2,1,1,1,0,0
0,3,0,1,1,Samaan,0.4,0.2,1,1,2,0,0
0,3,0,0,1,Samaan,0.4,0.2,1,1,2,0,0
1,2,1,1,0,Faunthorpe,0.6,1.0,1,1,1,0,1
0,1,0,4,1,Ostby,0.4,0.3,3,1,1,1,0
1,2,1,0,0,West,0.6,1.0,1,1,3,0,1
0,2,0,2,0,West,0.2,0.3,1,1,3,0,0
1,2,1,2,0,West,0.6,1.0,1,1,3,0,1
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,1,0,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,1,0,0,Goodwin,0.6,0.4,2,1,7,0,1
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
0,3,0,0,0,Goodwin,0.2,0.2,2,1,7,0,2
